劉備,劉備,リュウビ,固有名詞
私掠,私掠,シリャク,名詞
神鎖,神鎖,シンサ,名詞
絆鎖,絆鎖,ハンサ,名詞
憑き,憑き,ツキ,名詞
千狐,千狐,センコ,名詞
悪戯,悪戯,イタズラ,名詞
輝光,輝光,キコウ,名詞
鬼刃忍,鬼刃忍,キジンニン,名詞
聖魔,聖魔,セイマ,名詞
犬神,犬神,イヌガミ,名詞
諸葛亮,諸葛亮,ショカツリョウ,名詞
屍仙,屍仙,シセン,名詞
剣聖,剣聖,ケンセイ,名詞
紅血,紅血,コウケツ,名詞
麗姫,麗姫,レイキ,名詞
海魔,海魔,カイマ,名詞
孫堅,孫堅,ソンケン,名詞
孫権,孫権,ソンケン,名詞
曹操,曹操,ソウソウ,名詞
水龍,水龍,スイリュウ,名詞
妖狸,妖狸,ヨウリ,名詞
星天,星天,セイテン,名詞
厨師,厨師,チュウシ,名詞
封鎧,封鎧,フウガイ,名詞
獅盾,獅盾,シシタテ,名詞
白百合,白百合,シラユリ,名詞
天槍,天槍,テンソウ,名詞
天駆,天駆,テンク,名詞
聖銀竜,聖銀竜,セイギンリュウ,名詞
銀夜,銀夜,ギンヤ,名詞
戦姫,戦姫,イクサヒメ,名詞
行商人,行商人,ギョウショウニン,名詞
銀腕,銀腕,ギンワン,名詞
白狼,白狼,ハクロウ,名詞
八咫,八咫,ヤタ,名詞
万慧,万慧,バンケイ,名詞
贈り人,贈り人,オクリビト,名詞
冥闇,冥闇,メイアン,名詞
爪獣,爪獣,ソウジュウ,名詞
猛き,猛き,タケキ,形容詞
緑竜,緑竜,リョクリュウ,名詞
彩華,彩華,サイカ,名詞
霊麟,霊麟,レイリン,名詞
紅剣,紅剣,コウケン,名詞
氷霊,氷霊,ヒョウレイ,名詞
趙紅明,趙紅明,チョウコウメイ,固有名詞
雷霊,雷霊,ライレイ,名詞
閃光,閃光,センコウ,名詞
